bucket_start_utc,bucket_end_utc,cycle_results,minted_reported,graphiti_successes_reported,grok_writer_sessions,grok_completed_sessions,grok_model_calls,grok_input_tokens,grok_output_tokens,grok_total_tokens,grok_cached_read_tokens,grok_reasoning_tokens,cursor_fallback_sessions,stored_outputs,stored_grok_outputs,stored_cursor_outputs,stored_other_outputs
2026-08-20T16:10:00Z,2026-08-20T16:15:00Z,0,0,0,2,2,2,103123,862,103985,128,402,0,1,1,0,0
2026-08-20T16:15:00Z,2026-08-20T16:20:00Z,0,0,0,2,2,2,102721,297,103018,5248,214,0,0,0,0,0
2026-08-20T16:20:00Z,2026-08-20T16:25:00Z,0,0,0,1,1,1,51465,192,51657,14208,136,0,0,0,0,0
2026-08-20T16:25:00Z,2026-08-20T16:30:00Z,0,0,0,2,2,2,102729,505,103234,19584,144,0,1,1,0,0
2026-08-20T16:30:00Z,2026-08-20T16:35:00Z,0,0,0,1,1,1,51347,549,51896,5248,61,0,2,2,0,0
2026-08-20T16:35:00Z,2026-08-20T16:40:00Z,1,5,1,2,2,2,102738,435,103173,19456,173,0,1,1,0,0
2026-08-20T16:40:00Z,2026-08-20T16:45:00Z,0,0,0,1,1,1,51350,102,51452,128,72,1,1,0,1,0
2026-08-20T16:45:00Z,2026-08-20T16:50:00Z,0,0,0,2,2,2,102729,671,103400,5376,222,0,2,2,0,0
2026-08-20T16:50:00Z,2026-08-20T16:55:00Z,0,0,0,1,1,1,51467,133,51600,128,110,0,0,0,0,0
2026-08-20T16:55:00Z,2026-08-20T17:00:00Z,0,0,0,1,1,1,51369,555,51924,128,72,0,1,1,0,0
2026-08-20T17:00:00Z,2026-08-20T17:05:00Z,1,5,1,1,1,1,51360,766,52126,0,203,0,0,0,0,0
2026-08-20T17:05:00Z,2026-08-20T17:10:00Z,0,0,0,3,3,3,154251,635,154886,42880,244,0,4,4,0,0
2026-08-20T17:10:00Z,2026-08-20T17:15:00Z,0,0,0,1,1,1,51350,401,51751,5248,56,0,1,1,0,0
2026-08-20T17:15:00Z,2026-08-20T17:20:00Z,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-20T17:20:00Z,2026-08-20T17:25:00Z,0,0,0,2,2,2,102798,841,103639,128,147,0,2,2,0,0
2026-08-20T17:25:00Z,2026-08-20T17:30:00Z,0,0,0,1,1,1,51396,130,51526,5248,85,0,0,0,0,0
2026-08-20T17:30:00Z,2026-08-20T17:35:00Z,0,0,0,1,1,1,51425,122,51547,5248,74,0,0,0,0,0
2026-08-20T17:35:00Z,2026-08-20T17:40:00Z,0,0,0,1,1,1,51412,124,51536,5248,94,0,0,0,0,0
2026-08-20T17:40:00Z,2026-08-20T17:45:00Z,0,0,0,3,3,3,154150,692,154842,14464,293,1,1,1,0,0
2026-08-20T17:45:00Z,2026-08-20T17:50:00Z,0,0,0,1,1,1,51398,501,51899,128,165,1,2,1,1,0
2026-08-20T17:50:00Z,2026-08-20T17:55:00Z,1,5,1,1,1,1,51396,105,51501,0,73,1,0,0,0,0
2026-08-20T17:55:00Z,2026-08-20T18:00:00Z,0,0,0,4,4,6,309043,2341,311384,118784,864,0,5,4,1,0
2026-08-20T18:00:00Z,2026-08-20T18:05:00Z,1,5,1,4,4,4,205571,2232,207803,6784,328,0,3,3,0,0
